Alternative1,Alternative2,Alternative3,Alternative4,Alternative5
jackson-jaxrs-providers,fasterxml-jackson-jaxrs-providers,,,
jackson-jaxrs-smile-provider,fasterxml-jackson-jaxrs-smile-provider,,,
jackson-jaxrs-xml-provider,fasterxml-jackson-jaxrs-xml-provider,,,
,fasterxml-jackson-jr,,,
,fasterxml-jackson-jr-trees,,,
jackson-mapper-asl,,gf.jackson-mapper-asl.jar,,
jackson-module-afterburner,fasterxml-jackson-module-afterburner,,,
jackson-module-guice,fasterxml-jackson-module-guice,,,
jackson-module-hibernate,fasterxml-jackson-module-hibernate,,,
jackson-module-jaxb-annotations,fasterxml-jackson-module-jaxb-annotations,,,
jackson-module-json-org,fasterxml-jackson-module-json-org,,,
jackson-module-jsonschema,fasterxml-jackson-module-jsonschema,,,
jackson-module-kotlin,fasterxml-jackson-module-kotlin,,,
jackson-module-mrbean,fasterxml-jackson-module-mrbean,,,
jackson-module-osgi,fasterxml-jackson-module-osgi,,,
jackson-module-parameter-names,fasterxml-jackson-module-parameter-names,,,
jackson-module-paranamer,fasterxml-jackson-module-paranamer,,,
jackson-module-scala,fasterxml-jackson-module-scala,,,
jackson-module-shapeless_2.10,fasterxml-jackson-module-swagger,,,
jackson-module-swagger,fasterxml-jackson-modules-base,,,
jackson-module-unknown-property,fasterxml-jackson-modules-java8,,,
jackson-ou-126mail,fasterxml-jackson-parent,,,
jackson-parent,fasterxml-jackson-schema-maven-plugin,,,
